station_id,latitude,longitude,population,capacity,zone_id,Acres,Persons Per Acre ,capacity per 1000
258,40.68940747,-73.96885458,3313,23,3019700,41.97,78.9,6.94
385,40.75797322,-73.96603308,9039,29,1010800,45.11,200.4,3.21
3059,40.6933982,-73.939877,4193,19,3028100,40.02,104.8,4.53
315,40.70355377,-74.00670227,8109,29,1000700,62.75,129.2,3.58
3404,40.6704922,-73.98541675,3057,27,3013700,37.67,81.2,8.83
3241,40.686203,-73.944694,3838,19,3026500,39.44,97.3,4.95
3728,40.69535693,-73.99344027,2512,24,3000502,23.92,105,9.55
3304,40.668127,-73.98377641,3041,26,3015300,37.18,81.8,8.55
328,40.72405549,-74.00965965,5860,23,1003900,82.82,70.8,3.92
262,40.6917823,-73.9737299,2472,24,3003100,71.25,34.7,9.71
3312,40.7817212,-73.94594,13749,39,1015400,43.83,313.7,2.84
247,40.73535398,-74.00483091,6215,54,1007300,40.85,152.1,8.69
3297,40.6686627,-73.97988067,3041,21,3015300,37.18,81.8,6.91
276,40.71748752,-74.0104554,5860,25,1003900,82.82,70.8,4.27
